CO2[ppm],microdust[ug/m3],humidity[%],temperature[*C],HeatIndex[*C],pressure[hPa],temperature2[*C],altitude[m],radiation(10min_avg)[uSv/hr],radiation(1min_avg)[uSv/hr],
380.3,-87.55,69.20,23.40,23.60,999.97,23.39,44.90,0.00,0.00,
380.3,13.72,69.20,23.40,23.60,1000.08,23.39,44.80,0.00,0.00,
380.3,-3.71,69.20,23.40,23.60,999.94,23.39,44.30,0.00,0.00,
380.3,-1.22,69.20,23.40,23.60,999.99,23.39,44.50,0.00,0.00,
380.3,7.08,69.20,23.40,23.60,1000.02,23.39,44.30,0.00,0.00,
380.3,11.23,69.20,23.40,23.60,999.93,23.39,44.10,0.00,0.00,
380.3,0.44,69.20,23.40,23.60,999.90,23.39,45.50,0.00,0.00,
380.3,11.23,69.20,23.40,23.60,999.99,23.39,44.50,0.00,0.00,
380.3,5.42,69.20,23.40,23.60,999.90,23.39,45.10,0.00,0.00,
380.3,-0.39,69.20,23.40,23.60,1000.08,23.39,44.70,0.00,0.00,
380.3,6.25,69.20,23.40,23.60,1000.07,23.39,44.80,0.00,0.00,
380.3,3.76,69.20,23.40,23.60,999.97,23.39,44.10,0.00,0.00,
380.3,-1.22,69.20,23.40,23.60,1000.09,23.39,44.30,0.00,0.00,
402.2,13.72,69.20,23.40,23.60,999.91,23.39,44.00,0.00,0.00,
402.2,-4.54,69.20,23.40,23.60,1000.03,23.39,45.30,0.00,0.00,
402.2,7.08,69.20,23.40,23.60,999.95,23.39,45.10,0.00,0.00,
402.2,-11.18,69.20,23.40,23.60,1000.04,23.39,44.90,0.00,0.00,
402.2,6.25,69.20,23.40,23.60,1000.03,23.39,44.80,0.00,0.00,
402.2,2.93,69.20,23.40,23.60,999.98,23.39,45.20,0.00,0.00,
402.2,7.91,69.20,23.40,23.60,1000.06,23.39,44.70,0.00,0.00,
402.2,3.76,69.20,23.40,23.60,999.92,23.39,44.50,0.00,0.00,
425.8,6.25,69.20,23.40,23.60,999.94,23.39,44.50,0.00,0.00,
425.8,2.10,69.20,23.40,23.60,1000.07,23.39,44.40,0.00,0.00,
425.8,2.93,69.20,23.40,23.60,1000.03,23.39,44.50,0.00,0.00,
425.8,2.93,69.20,23.40,23.60,1000.05,23.39,44.90,0.00,0.00,
425.8,4.59,69.20,23.40,23.60,1000.04,23.39,44.80,0.00,0.00,
425.8,7.91,69.20,23.40,23.60,999.95,23.39,44.30,0.00,0.00,
425.8,4.59,69.20,23.40,23.60,1000.04,23.39,44.50,0.00,0.00,
425.8,-2.88,69.20,23.40,23.60,1000.07,23.39,44.90,0.00,0.00,
425.8,8.74,69.20,23.40,23.60,999.94,23.39,45.00,0.00,0.00,
425.8,3.76,68.80,23.40,23.59,999.98,23.39,44.10,0.00,0.00,
425.8,-0.39,68.80,23.40,23.59,999.92,23.39,45.40,0.00,0.00,
425.8,13.72,68.80,23.40,23.59,1000.06,23.39,44.60,0.00,0.00,
425.8,-4.54,68.80,23.40,23.59,999.94,23.39,44.10,0.00,0.00,
425.8,-2.88,68.80,23.40,23.59,1000.01,23.39,44.10,0.00,0.00,
425.8,-3.71,68.80,23.40,23.59,1000.08,23.39,45.30,0.00,0.00,
425.8,9.57,68.80,23.40,23.59,1000.04,23.39,44.90,0.00,0.00,
425.8,7.91,68.80,23.40,23.59,1000.01,23.39,45.50,0.00,0.00,
425.8,6.25,68.80,23.40,23.59,1000.05,23.39,45.40,0.00,0.00,
425.8,12.89,68.80,23.40,23.59,1000.09,23.39,45.20,0.00,0.00,
425.8,8.74,68.80,23.40,23.59,999.90,23.39,45.00,0.00,0.00,
425.8,15.38,68.80,23.40,23.59,999.98,23.39,44.00,0.00,0.00,
451.4,5.42,68.80,23.40,23.59,1000.03,23.39,45.40,0.00,0.00,
425.8,12.06,68.80,23.40,23.59,999.92,23.39,44.50,0.00,0.00,
451.4,7.91,68.80,23.40,23.59,999.92,23.39,45.50,0.00,0.00,
451.4,3.76,68.80,23.40,23.59,999.91,23.39,44.80,0.00,0.00,
451.4,2.93,68.80,23.40,23.59,1000.01,23.39,45.40,0.00,0.00,
451.4,-4.54,68.80,23.40,23.59,1000.01,23.39,44.10,0.00,0.00,
451.4,-1.22,68.80,23.40,23.59,1000.06,23.39,44.80,0.00,0.00,
451.4,8.74,68.80,23.40,23.59,1000.09,23.39,45.40,0.00,0.00,
451.4,-14.50,68.80,23.40,23.59,1000.02,23.39,44.70,0.00,0.00,
451.4,-7.03,68.80,23.40,23.59,1000.09,23.39,44.70,0.00,0.00,
479.1,9.57,68.80,23.40,23.59,999.99,23.39,44.90,0.00,0.00,
479.1,7.91,68.80,23.40,23.59,999.96,23.39,44.20,0.00,0.00,
479.1,2.10,68.80,23.40,23.59,1000.03,23.39,44.60,0.00,0.00,
479.1,6.25,68.80,23.40,23.59,1000.04,23.39,44.40,0.00,0.00,
479.1,6.25,68.80,23.40,23.59,999.96,23.39,45.00,0.00,0.00,
479.1,-7.03,68.80,23.40,23.59,1000.04,23.39,44.20,0.00,0.00,
479.1,13.72,68.80,23.40,23.59,999.94,23.39,44.60,0.00,0.00,
451.4,12.06,68.80,23.40,23.59,1000.09,23.39,44.30,0.00,0.00,
479.1,4.59,69.10,23.40,23.60,999.95,23.39,44.80,0.00,0.00,
479.1,19.53,69.10,23.40,23.60,1000.09,23.39,44.10,0.00,0.00,
479.1,-0.39,69.10,23.40,23.60,1000.06,23.39,45.50,0.00,0.00,
479.1,7.91,69.10,23.40,23.60,999.90,23.39,44.00,0.00,0.00,
479.1,7.08,69.10,23.40,23.60,1000.05,23.39,44.90,0.00,0.00,
479.1,-1.22,69.10,23.40,23.60,1000.04,23.39,45.10,0.00,0.00,
479.1,0.44,69.10,23.40,23.60,1000.09,23.39,45.20,0.00,0.00,
479.1,-7.03,69.10,23.40,23.60,1000.05,23.39,45.20,0.00,0.00,
479.1,-13.67,69.10,23.40,23.60,1000.02,23.39,45.50,0.00,0.00,
479.1,9.57,69.10,23.40,23.60,1000.03,23.39,44.50,0.00,0.00,
479.1,11.23,69.10,23.40,23.60,1000.03,23.39,44.10,0.00,0.00,
479.1,2.10,69.10,23.40,23.60,1000.00,23.39,44.30,0.00,0.00,
479.1,0.44,69.10,23.40,23.60,999.98,23.39,44.90,0.00,0.00,
479.1,6.25,69.10,23.40,23.60,999.95,23.39,45.20,0.00,0.00,
479.1,14.55,69.10,23.40,23.60,1000.05,23.39,45.50,0.00,0.00,
479.1,16.21,69.10,23.40,23.60,1000.09,23.39,44.30,0.00,0.00,
479.1,-0.39,69.10,23.40,23.60,1000.06,23.39,44.80,0.00,0.00,
479.1,14.55,69.10,23.40,23.60,999.90,23.39,44.80,0.00,0.00,
479.1,-3.71,69.10,23.40,23.60,1000.05,23.39,45.50,0.00,0.00,
479.1,0.44,69.10,23.40,23.60,1000.05,23.39,44.10,0.00,0.00,
479.1,11.23,69.10,23.40,23.60,999.90,23.39,44.70,0.00,0.00,
479.1,8.74,69.10,23.40,23.60,999.96,23.39,45.40,0.00,0.00,
479.1,9.57,69.10,23.40,23.60,1000.06,23.39,44.10,0.00,0.00,
479.1,-2.88,69.10,23.40,23.60,1000.01,23.39,44.60,0.00,0.00,
479.1,0.44,69.10,23.40,23.60,999.98,23.39,45.10,0.00,0.00,
479.1,5.42,69.10,23.40,23.60,999.99,23.39,44.30,0.00,0.00,
479.1,12.06,69.10,23.40,23.60,1000.01,23.39,45.10,0.00,0.00,
479.1,-2.88,69.10,23.40,23.60,1000.05,23.39,44.40,0.00,0.00,
479.1,-0.39,69.10,23.40,23.60,999.99,23.39,44.60,0.00,0.00,
479.1,2.10,69.10,23.40,23.60,999.90,23.39,44.90,0.00,0.00,
479.1,2.93,69.10,23.50,23.71,1000.07,23.49,44.80,0.00,0.00,
479.1,11.23,69.10,23.50,23.71,1000.06,23.49,44.50,0.00,0.00,
479.1,7.91,69.10,23.50,23.71,999.98,23.49,45.40,0.00,0.00,
479.1,1.27,69.10,23.50,23.71,1000.00,23.49,44.40,0.00,0.00,
